Date,BID,ASK,OPEN_PRC,HIGH_1,LOW_1,TRDPRC_1,NUM_MOVES
2024-10-16,10320.0,10325.0,10280.0,10370.0,10280.0,10280.0,3039.0
2024-10-17,10490.0,10495.0,10350.0,10520.0,10340.0,10448.38,3732.0
2024-10-18,10530.0,10535.0,10410.0,10535.0,10365.0,10410.0,2931.0
2024-10-21,10615.0,10620.0,10560.0,10670.0,10560.0,10560.0,4459.0
2024-10-22,10515.0,10520.0,10585.0,10600.0,10440.0,10505.0,2054.0
2024-10-23,10385.0,10395.0,10465.0,10505.0,10380.0,10402.14,3034.0
2024-10-24,10655.0,10660.0,10425.0,10830.0,10420.0,10655.0,6434.0
2024-10-25,10605.0,10610.0,10640.0,10695.0,10600.0,10644.57,4277.0
2024-10-28,10710.0,10715.0,10615.0,10735.0,10605.0,10615.34913,3019.0
2024-10-29,10595.0,10600.0,10745.0,10760.0,10580.0,10745.0,3241.0
2024-10-30,10545.0,10550.0,10545.0,10605.0,10490.0,10545.61157,2380.0
2024-10-31,10510.0,10515.0,10480.0,10535.0,10405.0,10503.1,4362.0
2024-11-01,10745.0,10750.0,10530.0,10765.0,10480.0,10750.0,4552.0
2024-11-04,10810.0,10815.0,10740.0,10885.0,10740.0,10810.0,3509.0
2024-11-05,10880.0,10885.0,10810.0,10935.0,10745.0,10867.9004,3235.0
2024-11-06,10870.0,10880.0,10985.0,11065.0,10785.0,10870.0,6648.0
2024-11-07,10765.0,10775.0,10880.0,10915.0,10755.0,10880.0,3926.0
2024-11-08,10745.0,10750.0,10785.0,10820.0,10690.0,10745.0,3885.0
2024-11-11,10810.0,10815.0,10760.0,10835.0,10710.0,10810.0,2779.0
2024-11-12,10595.0,10600.0,10795.0,10795.0,10550.0,10613.96066,3466.0
2024-11-13,10660.0,10665.0,10535.0,10660.0,10485.0,10660.0,2936.0
2024-11-14,10640.0,10645.0,10685.0,10715.0,10600.0,10634.68,3283.0
2024-11-15,10635.0,10640.0,10630.0,10650.0,10550.0,10634.5753,2616.0
2024-11-18,10710.0,10715.0,10640.0,10715.0,10550.0,10700.0,2910.0
2024-11-19,10725.0,10730.0,10740.0,10815.0,10695.0,10720.0,2648.0
2024-11-20,10900.0,10905.0,10710.0,10925.0,10685.0,10907.5,3750.0
2024-11-21,11005.0,11010.0,10930.0,11030.0,10890.0,10930.0,1992.0
2024-11-22,11100.0,11105.0,11090.0,11115.0,11010.0,11105.0,3218.0
2024-11-25,11215.0,11245.0,11140.0,11245.0,11140.0,11225.0,3825.0
2024-11-26,11195.0,11200.0,11210.0,11265.0,11152.5,11200.0,2668.0
2024-11-27,11240.0,11245.0,11205.0,11295.0,11175.0,11255.0,2488.0
2024-11-28,11180.0,11185.0,11255.0,11275.0,11160.0,11180.0,2350.0
2024-11-29,11270.0,11275.0,11210.0,11295.0,11200.0,11255.0,2751.0
2024-12-02,11285.0,11290.0,11285.0,11315.0,11195.0,11290.0,2700.0
2024-12-03,11325.0,11330.0,11275.0,11340.0,11185.0,11321.58,3783.0
2024-12-04,11430.0,11435.0,11330.0,11435.0,11260.0,11363.92,2935.0
2024-12-05,11435.0,11440.0,11455.0,11490.0,11380.0,11430.0,2768.0
2024-12-06,11360.0,11365.0,11445.0,11445.0,11330.0,11445.0,3372.0
2024-12-09,11205.0,11210.0,11380.0,11395.0,11185.0,11195.0,3277.0
2024-12-10,11200.0,11205.0,11300.0,11310.0,11125.0,11200.0,2873.0
2024-12-11,11330.0,11335.0,11135.0,11330.0,11135.0,11315.0,2796.0
2024-12-12,11370.0,11375.0,11335.0,11400.0,11295.0,11375.0,2805.0
2024-12-13,11385.0,11390.0,11365.0,11420.0,11350.0,11355.0,1721.0
2024-12-16,11510.0,11515.0,11380.0,11550.0,11350.0,11510.0,3177.0
2024-12-17,11540.0,11545.0,11540.0,11665.0,11490.0,11600.0,4553.0
2024-12-18,11490.0,11495.0,11545.0,11605.0,11460.0,11489.7,3513.0
2024-12-19,11445.0,11450.0,11345.0,11465.0,11340.0,11430.0,4727.0
2024-12-20,11320.0,11325.0,11410.0,11415.0,11240.0,11320.0,6089.0
2024-12-23,11240.0,11245.0,11270.0,11330.0,11185.0,11235.0,3591.0
2024-12-24,11320.0,11325.0,11275.0,11330.0,11260.0,11325.0,992.0
2024-12-27,11325.0,11330.0,11285.0,11330.0,11210.0,11305.0,2144.0
2024-12-30,11295.0,11300.0,11305.0,11340.0,11250.0,11300.0,2278.0
2024-12-31,11285.0,11325.0,11315.0,11345.0,11260.0,11285.0,1026.0
2025-01-02,11460.0,11470.0,11300.0,11475.0,11260.0,11440.0,2499.0
2025-01-03,11415.0,11420.0,11495.0,11515.0,11390.0,11415.0,2052.0
2025-01-06,11315.0,11320.0,11435.0,11450.0,11245.0,11310.0,3283.0
2025-01-07,11420.0,11425.0,11335.0,11425.0,11290.0,11335.0,3728.0
2025-01-08,11615.0,11620.0,11700.0,11785.0,11590.0,11645.0,5383.0
2025-01-09,11860.0,11865.0,11605.0,11865.0,11605.0,11839.28008,3785.0
2025-01-10,11670.0,11675.0,11855.0,11890.0,11645.0,11675.0,3594.0
2025-01-13,11570.0,11585.0,11605.0,11660.0,11545.0,11585.0,2626.0
2025-01-14,11605.0,11610.0,11620.0,11690.0,11515.0,11665.0,3590.0
2025-01-15,11610.0,11620.0,11590.0,11690.0,11535.0,11590.0,3456.0
2025-01-16,11790.0,11795.0,11675.0,11790.0,11655.0,11750.0,3255.0
2025-01-17,11770.0,11780.0,11860.0,11900.0,11770.0,11800.0,5449.0
2025-01-20,11700.0,11705.0,11785.0,11830.0,11700.0,11700.0,3462.0
2025-01-21,11800.0,11805.0,11745.0,11815.0,11705.0,11800.0,4990.0
2025-01-22,11960.0,11965.0,11825.0,11985.0,11800.0,11955.0,4546.0
2025-01-23,11920.0,11930.0,11980.0,12015.0,11905.0,11945.0,3870.0
2025-01-24,11775.0,11780.0,11920.0,11955.0,11770.0,11785.0,3391.0
2025-01-27,11685.0,11690.0,11650.0,11715.0,11525.0,11690.0,5898.0
2025-01-28,11695.0,11700.0,11695.0,11850.0,11640.0,11705.0,3977.0
2025-01-29,11820.0,11825.0,11735.0,11830.0,11695.0,11805.0,2936.0
2025-01-30,12040.0,12045.0,11890.0,12045.0,11805.0,12010.0,3227.0
2025-01-31,12035.0,12045.0,12010.0,12110.0,12005.0,12010.0,3222.0
2025-02-03,11900.0,11905.0,11845.0,11975.0,11845.0,11890.0,3751.0
2025-02-04,12000.0,12005.0,11895.0,12010.0,11840.0,11995.0,3753.0
2025-02-05,12090.0,12095.0,11935.0,12095.0,11925.0,12065.0,4306.0
2025-02-06,11760.0,11770.0,12130.0,12185.0,11705.0,11835.0,7826.0
2025-02-07,11725.0,11730.0,11710.0,11820.0,11710.0,11755.0,4894.0
2025-02-10,11680.0,11685.0,11730.0,11775.0,11655.0,11735.0,4945.0
2025-02-11,11685.0,11690.0,11695.0,11765.0,11675.0,11695.0,2459.0
2025-02-12,11730.0,11735.0,11795.0,11795.0,11645.0,11715.0,2769.0
2025-02-13,11655.0,11660.0,11805.0,11810.0,11610.0,11655.0,5233.0
2025-02-14,11690.0,11695.0,11735.0,11755.0,11670.0,11695.0,3269.0
2025-02-17,11720.0,11725.0,11755.0,11760.0,11635.0,11716.93,2242.0
2025-02-18,11690.0,11695.0,11720.0,11755.0,11650.0,11685.8988,2838.0
2025-02-19,11705.0,11710.0,11660.0,11795.0,11625.0,11685.0,3747.0
2025-02-20,11695.0,11700.0,11755.0,11755.0,11645.0,11685.0,3767.0
2025-02-21,11585.0,11590.0,11685.0,11705.0,11565.0,11600.0,4032.0
